;rxcui;drug_name;clean_name;rxcui_x;variable;rxcui_y;name;atc
136;2634560.0;Coban 2  Multi-layer Compression Bandaging Kit  One Size;Coban 2 Multi-Layer Compression Bandaging Kit One Size;2634560.0;IN;161.0;acetaminophen;['N02BE01']
137;2205097.0;Duaklir Genuair  Dry Powder Inhaler  340 micrograms + 12 micrograms/dose;Duaklir Genuair Dry Powder Inhaler 340 Micrograms + 12 Micrograms Dose;2205097.0;PIN;1303097.0;aclidinium bromide;['R03BB05']
138;5657.0;PEAK FLOW METER VITALOGRAPH EN ISO 23747:2007 STANDARD RANGE;Peak Flow Meter Vitalograph En Iso 23747:2007 Standard Range;5657.0;IN;5657.0;ifosfamide;['L01AA06']
141;312984.0;Optiflo S 0.9% Saline 100ml;Optiflo S 0.9% Saline 100Ml;312984.0;IN;9863.0;sodium chloride;['A12CA01', 'B05CB01', 'B05XA03']
143;310933.0;Lumecare Hypromellose  Eye Drops Unit Dose  Preservative Free  0.3 %;Lumecare Hypromellose Eye Drops Unit Dose Preservative Free 0.3 %;310933.0;IN;27334.0;hypromellose;['S01KA02']
147;1038855.0;AUTOPEN CLASSIC PEN 3ML 1 UNIT 1-21UNITS;Autopen Classic Pen 3Ml 1 Unit 1-21Units;1038855.0;IN;1378.0;benzalkonium;['D08AJ01', 'D09AA11', 'R02AA16']
154;581662.0;NOVOPEN 3 PEN CLASSIC 3ML 1UNIT 2-70 UNITS;Novopen 3 Pen Classic 3Ml 1Unit 2-70 Units;581662.0;IN;448.0;ethanol;['D08AX08', 'V03AB16', 'V03AZ01']
157;219862.0;Aerochamber Plus  Spacer device  child (yellow) with mask;Aerochamber Plus Spacer Device Child Yellow With Mask;219862.0;IN;36387.0;sennosides, USP;['A06AB06']
158;215502.0;Compression Hosiery Class III  Kneecap  Flatbed Knit  Standard stock size;Compression Hosiery Class Iii Kneecap Flatbed Knit Standard Stock Size;215502.0;IN;8120.0;phenazopyridine;['G04BX06']
159;215502.0;Compression Hosiery Class III  Kneecap  Circular Knit  Standard stock size;Compression Hosiery Class Iii Kneecap Circular Knit Standard Stock Size;215502.0;IN;8120.0;phenazopyridine;['G04BX06']
161;1656327.0;AEROCHAMBER PLUS DEVICE FOR USE WITH PRESSURISED AEROSOL WITH MASK CHILD;Aerochamber Plus Device For Use With Pressurised Aerosol With Mask Child;1656327.0;IN;6387.0;lidocaine;['C01BB01', 'C05AD01', 'D04AB01', 'N01BB02', 'R02AD02', 'S01HA07', 'S02DA01']
162;359634.0;Artelac Splash  Eye drops (preservative-free)  0.2 %  0.5 ml unit dose;Artelac Splash Eye Drops Preservative-Free 0.2 % 0.5 Ml Unit Dose;359634.0;IN;27334.0;hypromellose;['S01KA02']
165;1367410.0;HUMAPEN ERGO PEN TEAL 3ML 1 UNIT 1-60 UNITS;Humapen Ergo Pen Teal 3Ml 1 Unit 1-60 Units;1367410.0;IN;4018.0;ergocalciferol;['A11CC01']
166;1655960.0;Sodium Hyaluronate  Eye drops (preservative-free)  0.1 %;Sodium Hyaluronate Eye Drops Preservative-Free 0.1 %;1655960.0;IN;6851.0;methotrexate;['L01BA01', 'L04AX03']
167;1422107.0;Tubifast  Stockinette  7.5 cm x 5 m (blue line);Tubifast Stockinette 7.5 Cm X 5 M Blue Line;1422107.0;IN;6387.0;lidocaine;['C01BB01', 'C05AD01', 'D04AB01', 'N01BB02', 'R02AD02', 'S01HA07', 'S02DA01']
169;215502.0;Nspire Piko-1  Peak flow meter (standard range)  346005-EU;Nspire Piko-1 Peak Flow Meter Standard Range 346005-Eu;215502.0;IN;8120.0;phenazopyridine;['G04BX06']
170;2480108.0;KENALOG VIAL 1ML INJ 40MG/ML;Kenalog Vial 1Ml Inj 40Mg Ml;2480108.0;IN;10759.0;triamcinolone;['A01AC01', 'C05AA12', 'D07AB09', 'D07XB02', 'H02AB08', 'R01AD11', 'R03BA06', 'S01BA05']
174;309916.0;Clinimed  LBF Barrier Cream  3821;Clinimed Lbf Barrier Cream 3821;309916.0;IN;324072.0;dimethicone;['P03AX05']
180;1656327.0;Aerochamber Plus Device For Use With Pressurised Aerosol With Mask Adult;Aerochamber Plus Device For Use With Pressurised Aerosol With Mask Adult;1656327.0;IN;6387.0;lidocaine;['C01BB01', 'C05AD01', 'D04AB01', 'N01BB02', 'R02AD02', 'S01HA07', 'S02DA01']
188;1088604.0;Unistik 3 Comfort  Lancets  1.8 mm/28 gauge;Unistik 3 Comfort Lancets 1.8 Mm 28 Gauge;1088604.0;IN;324072.0;dimethicone;['P03AX05']
200;1663747.0;Hylo-Forte  Eye drops  0.2 %;Hylo-Forte Eye Drops 0.2 %;1663747.0;IN;1418.0;benzoyl peroxide;['D10AE01']
202;968663.0;Clinifast  Gloves  Medium Adult;Clinifast Gloves Medium Adult;968663.0;IN;324072.0;dimethicone;['P03AX05']
206;701916.0;Nyda  Spray;Nyda Spray;701916.0;IN;6922.0;metronidazole;['A01AB17', 'D06BX01', 'G01AF01', 'J01XD01', 'P01AB01']
209;1144131.0;AEROCHAMBER PLUS DEVICE FOR USE WITH PRESSURISED AEROSOL;Aerochamber Plus Device For Use With Pressurised Aerosol;1144131.0;IN;1399.0;benzocaine;['C05AD03', 'D04AB04', 'N01BA05', 'R02AD01']
211;581662.0;One Touch Finepoint Lancet 0.5mm 25gauge;One Touch Finepoint Lancet 0.5Mm 25Gauge;581662.0;IN;448.0;ethanol;['D08AX08', 'V03AB16', 'V03AZ01']
214;1309303.0;Balance Activ Bv  Vaginal gel;Balance Activ Bv Vaginal Gel;1309303.0;IN;10171.0;sulfadiazine;['J01EC02']
217;2119240.0;Octenilin  Wound Irrigation Solution  350 ml bottle;Octenilin Wound Irrigation Solution 350 Ml Bottle;2119240.0;IN;2119240.0;octenidine;['A01AB24', 'R02AA21']
224;5657.0;PEAK FLOW METER MINI WRIGHT EN ISO 23747:2007 STANDARD RANGE;Peak Flow Meter Mini Wright En Iso 23747:2007 Standard Range;5657.0;IN;5657.0;ifosfamide;['L01AA06']
228;309714.0;Hylo-Tear  Eye drops (preservative-free)  0.1 %;Hylo-Tear Eye Drops Preservative-Free 0.1 %;309714.0;IN;27334.0;hypromellose;['S01KA02']
229;198750.0;METHYLCELLULOSE 450 TABLETS 500MG;Methylcellulose 450 Tablets 500Mg;198750.0;IN;6873.0;methylcellulose;['A06AC06']
230;1087043.0;Acti-Fast 2-Way Stretch  Stockinette  7.5 cm x 5 m (blue line);Acti-Fast 2-Way Stretch Stockinette 7.5 Cm X 5 M Blue Line;1087043.0;IN;8163.0;phenylephrine;['C01CA06', 'R01AA04', 'R01AB01', 'R01BA03', 'S01FB01', 'S01GA05']
234;2593946.0;Humapen Luxura Hd  Re-usable pen  3 ml  1-30 units;Humapen Luxura Hd Re-Usable Pen 3 Ml 1-30 Units;2593946.0;IN;10847.0;tripelennamine;['D04AA04', 'R06AC04']
239;207074.0;ONE TOUCH ULTRA SOFT LANCETS;One Touch Ultra Soft Lancets;207074.0;IN;6854.0;methoxsalen;['D05AD02', 'D05BA02']
240;2593946.0;Humapen Luxura  Re-usable pen  3 ml  1-60 units  Champagne;Humapen Luxura Re-Usable Pen 3 Ml 1-60 Units Champagne;2593946.0;IN;10847.0;tripelennamine;['D04AA04', 'R06AC04']
243;1116731.0;Dimeticone LOT 4%;Dimeticone Lot 4%;1116731.0;IN;324072.0;dimethicone;['P03AX05']
257;1483141.0;Tubifast 2-Way Stretch  Gloves  Medium/Large Adult;Tubifast 2-Way Stretch Gloves Medium Large Adult;1483141.0;IN;324072.0;dimethicone;['P03AX05']
259;1422103.0;EPADERM CREAM 500G PUMP;Epaderm Cream 500G Pump;1422103.0;IN;6387.0;lidocaine;['C01BB01', 'C05AD01', 'D04AB01', 'N01BB02', 'R02AD02', 'S01HA07', 'S02DA01']
262;991680.0;Wellspect Lofric Primo  Nelaton catheter  non PVC (male)  12ch  4101225;Wellspect Lofric Primo Nelaton Catheter Non Pvc Male 12Ch 4101225;991680.0;IN;10172.0;sulfadimethoxine;['J01ED01']
264;1788984.0;Novopen Echo  Re-usable pen  Blue  3 ml  0.5 unit dial up  0.5-30 units;Novopen Echo Re-Usable Pen Blue 3 Ml 0.5 Unit Dial Up 0.5-30 Units;1788984.0;IN;6878.0;methylene blue;['V03AB17', 'V04CG05']
265;240559.0;Opus Lift Plus 360  Medical Adhesive Remover Spray  5506;Opus Lift Plus 360 Medical Adhesive Remover Spray 5506;240559.0;IN;9525.0;salicylic acid;['D01AE12', 'S01BC08']
268;900141.0;Hylo-Forte  Eye drops (preservative-free)  0.2 %;Hylo-Forte Eye Drops Preservative-Free 0.2 %;900141.0;IN;27334.0;hypromellose;['S01KA02']
269;312893.0;Kelo-Cote  Gel  60 g tube;Kelo-Cote Gel 60 G Tube;312893.0;IN;9525.0;salicylic acid;['D01AE12', 'S01BC08']
283;215502.0;PEAK FLOW METER NSPIRE POCKET PEAK STANDARD RANGE;Peak Flow Meter Nspire Pocket Peak Standard Range;215502.0;IN;8120.0;phenazopyridine;['G04BX06']
284;151174.0;Mesitran  Ointment;Mesitran Ointment;151174.0;IN;4917.0;nitroglycerin;['C01DA02', 'C05AE01']
286;1422107.0;Clinifast  Stockinette  7.5 cm x 5 m  (Blue Line);Clinifast Stockinette 7.5 Cm X 5 M Blue Line;1422107.0;IN;6387.0;lidocaine;['C01BB01', 'C05AD01', 'D04AB01', 'N01BB02', 'R02AD02', 'S01HA07', 'S02DA01']
295;1251411.0;Epaderm Cream Emollient 50g Pump;Epaderm Cream Emollient 50G Pump;1251411.0;IN;272.0;activated charcoal;['A07BA01']
297;215502.0;PEAK FLOW METER VITALOGRAPH STANDARD RANGE;Peak Flow Meter Vitalograph Standard Range;215502.0;IN;8120.0;phenazopyridine;['G04BX06']
299;704876.0;Xerotin Saliva Replacement Spray 100ml;Xerotin Saliva Replacement Spray 100Ml;704876.0;IN;8834.0;protein C;['B01AD12']
300;1488329.0;Flexitol Heel Balm Emollient 200g;Flexitol Heel Balm Emollient 200G;1488329.0;IN;1426.0;benzyl alcohol;['P03AX06']
302;701627.0;Fultium-D3  Capsules  800 units;Fultium-D3 Capsules 800 Units;701627.0;IN;11246.0;vitamin A;['A11CA01', 'D10AD02', 'R01AX02', 'S01XA02']
306;25655.0;Gaviscon Advance  Oral suspension (peppermint);Gaviscon Advance Oral Suspension Peppermint;25655.0;IN;29155.0;magnesium carbonate;['A02AA01', 'A06AD01']
306;25655.0;Gaviscon Advance  Oral suspension (peppermint);Gaviscon Advance Oral Suspension Peppermint;25655.0;MIN;1029441.0;aluminum hydroxide / magnesium carbonate;['A02AD03']
307;153668.0;Hollister Vapro Pocket Hydrophilic  Intermittent Catheter (Male 40cm)  12ch  70124;Hollister Vapro Pocket Hydrophilic Intermittent Catheter Male 40Cm 12Ch 70124;153668.0;IN;83818.0;irbesartan;['C09CA04']
313;1656327.0;AEROCHAMBER PLUS DEVICE FOR USE WITH PRESSURISED AEROSOL WITH MASK INFANT;Aerochamber Plus Device For Use With Pressurised Aerosol With Mask Infant;1656327.0;IN;6387.0;lidocaine;['C01BB01', 'C05AD01', 'D04AB01', 'N01BB02', 'R02AD02', 'S01HA07', 'S02DA01']
316;206349.0;Qv Intensive  Ointment;Qv Intensive Ointment;206349.0;IN;5492.0;hydrocortisone;['A01AC03', 'A07EA02', 'C05AA01', 'D07AA02', 'D07XA01', 'H02AB09', 'S01BA02', 'S01CB03', 'S02BA01']
318;151875.0;Hydromol OINT;Hydromol Oint;151875.0;IN;27084.0;homatropine;['S01FA05']
320;209990.0;Dermasilk  Female Briefs  Adult Large;Dermasilk Female Briefs Adult Large;209990.0;IN;10223.0;sulfur;['D10AB02']
323;1650274.0;Fultium Daily D3  Drops  2 740 units/ml;Fultium Daily D3 Drops 2 740 Units Ml;1650274.0;IN;2418.0;cholecalciferol;['A11CC05']
327;1045430.0;K Two Reduced Latex Free  Multi-layer Compression Bandaging Kit  Size 25-32 cm  10 cm;K Two Reduced Latex Free Multi-Layer Compression Bandaging Kit Size 25-32 Cm 10 Cm;1045430.0;PIN;40036.0;benzethonium chloride;['D08AJ08']
331;217010.0;Vista-Methasone  Drops  0.1 %;Vista-Methasone Drops 0.1 %;217010.0;IN;72143.0;raloxifene;['G03XC01']
332;1053330.0;Able Spacer  With Face mask  medium;Able Spacer With Face Mask Medium;1053330.0;IN;10223.0;sulfur;['D10AB02']
336;1045430.0;K Two  Multi-layer Compression Bandaging Kit  Size 18-25 cm  10 cm;K Two Multi-Layer Compression Bandaging Kit Size 18-25 Cm 10 Cm;1045430.0;PIN;40036.0;benzethonium chloride;['D08AJ08']
338;1046593.0;Kelo-Cote  Gel;Kelo-Cote Gel;1046593.0;IN;1378.0;benzalkonium;['D08AJ01', 'D09AA11', 'R02AA16']
339;1086947.0;Rochester Medical Hydrosil Gripper  Nelaton catheter (male)  12ch  73612;Rochester Medical Hydrosil Gripper Nelaton Catheter Male 12Ch 73612;1086947.0;IN;5492.0;hydrocortisone;['A01AC03', 'A07EA02', 'C05AA01', 'D07AA02', 'D07XA01', 'H02AB09', 'S01BA02', 'S01CB03', 'S02BA01']
346;724154.0;SULPHASALAZINE EN 500MG TAB;Sulphasalazine En 500Mg Tab;724154.0;IN;9524.0;sulfasalazine;['A07EC01']
348;220372.0;Acti V.A.C  Canister with Gel;Acti V.A.C Canister With Gel;220372.0;IN;9601.0;scopolamine;['A04AD01', 'N05CM05', 'S01FA02']
355;581662.0;One Touch Ultrasoft Lancet 0.4mm 28 Gauge;One Touch Ultrasoft Lancet 0.4Mm 28 Gauge;581662.0;IN;448.0;ethanol;['D08AX08', 'V03AB16', 'V03AZ01']
364;197877.0;Multiclix  Lancets  0.3 mm/30 gauge;Multiclix Lancets 0.3 Mm 30 Gauge;197877.0;IN;6387.0;lidocaine;['C01BB01', 'C05AD01', 'D04AB01', 'N01BB02', 'R02AD02', 'S01HA07', 'S02DA01']
370;226343.0;Clinitas  Eye Drops Unit Dose  Preservative Free  0.4 %;Clinitas Eye Drops Unit Dose Preservative Free 0.4 %;226343.0;IN;3264.0;dexamethasone;['A01AC02', 'C05AA09', 'D07AB19', 'D07XB05', 'D10AA03', 'H02AB02', 'R01AD03', 'S01BA01', 'S01CB01', 'S02BA06', 'S03BA01']
388;1312492.0;Bd Microfine + Lancet (Microfine + Lancet) Formerly Microfine + Lancet 0.20mm 33gauge;Bd Microfine + Lancet Microfine + Lancet Formerly Microfine + Lancet 0.20Mm 33Gauge;1312492.0;IN;448.0;ethanol;['D08AX08', 'V03AB16', 'V03AZ01']
394;215502.0;Clement Clarke Mini-Wright  Peak flow meter (standard range)  3103388;Clement Clarke Mini-Wright Peak Flow Meter Standard Range 3103388;215502.0;IN;8120.0;phenazopyridine;['G04BX06']
403;203494.0;Carmize  Preservative-free eye drops  1 %  0.4 ml unit dose;Carmize Preservative-Free Eye Drops 1 % 0.4 Ml Unit Dose;203494.0;IN;3443.0;diltiazem;['C05AE03', 'C08DB01']
406;1493160.0;Sharpsguard (Sharpsbin) 1 Litre;Sharpsguard Sharpsbin 1 Litre;1493160.0;IN;1378.0;benzalkonium;['D08AJ01', 'D09AA11', 'R02AA16']
414;991680.0;Wellspect Lofric Primo  Nelaton catheter (male)  12ch  9601200;Wellspect Lofric Primo Nelaton Catheter Male 12Ch 9601200;991680.0;IN;10172.0;sulfadimethoxine;['J01ED01']
423;1046593.0;Kelo-Cote  Spray  100 ml;Kelo-Cote Spray 100 Ml;1046593.0;IN;1378.0;benzalkonium;['D08AJ01', 'D09AA11', 'R02AA16']
426;545626.0;Universal  Lancets  0.36 mm/28 gauge;Universal Lancets 0.36 Mm 28 Gauge;545626.0;PIN;56501.0;sodium monofluorophosphate;['A01AA02', 'A12CD02']
427;310933.0;Lumecare Singles Hypromellose  Eye Drops  Preservative Free  0.3 %  0.5 ml unit dose;Lumecare Singles Hypromellose Eye Drops Preservative Free 0.3 % 0.5 Ml Unit Dose;310933.0;IN;27334.0;hypromellose;['S01KA02']
429;704876.0;Xerotin  Mouth Moistening Spray;Xerotin Mouth Moistening Spray;704876.0;IN;8834.0;protein C;['B01AD12']
431;1483141.0;Tubifast  2-Way Stretch Stockinette  20 cm x 1 m (purple line);Tubifast 2-Way Stretch Stockinette 20 Cm X 1 M Purple Line;1483141.0;IN;324072.0;dimethicone;['P03AX05']
432;310926.0;Flaminal Hydro  Protease-Modulating Matrix Gel  15 g;Flaminal Hydro Protease-Modulating Matrix Gel 15 G;310926.0;IN;5509.0;hydroquinone;['D11AX11']
