original_rxcui,variable,rxcui,name
70599,IN,70599,gluconate
2119240,IN,2119240,octenidine
2627283,IN,10637,tolnaftate
1243415,IN,1897,calcium carbonate
1438119,IN,7980,penicillin G
1305738,IN,1305738,carbomer homopolymer type c
1372255,IN,1372255,goldenseal extract
2471083,IN,2471083,collagen type II
1483141,IN,324072,dimethicone
5657,IN,5657,ifosfamide
152000,IN,612,aluminum hydroxide
800985,IN,56443,sodium acetate
2634560,IN,161,acetaminophen
2205097,IN,1303098,aclidinium
310933,IN,27334,hypromellose
1999404,IN,62372,hyaluronate
1038855,IN,1378,benzalkonium
1310578,IN,1310578,medium chain triglycerides
1165405,IN,155046,pentosan polysulfate
219862,IN,36387,"sennosides, USP"
215502,IN,8120,phenazopyridine
24912,IN,24912,ferric subsulfate solution
1656327,IN,6387,lidocaine
359634,IN,27334,hypromellose
1302351,IN,7892,papain
1305564,IN,1305564,quinoline yellow
309916,IN,324072,dimethicone
8091,IN,8091,petrolatum
1088604,IN,324072,dimethicone
1310605,IN,1310605,brilliant blue FCF
1663747,IN,1418,benzoyl peroxide
968663,IN,324072,dimethicone
1311365,IN,1311365,Sus scrofa intervertebral disc preparation
701916,IN,6922,metronidazole
1144131,IN,1399,benzocaine
1309303,IN,10171,sulfadiazine
1361655,IN,1361655,hydroxypropyl guar (2500-4500 MPA.S at 1%)
1087043,IN,8163,phenylephrine
207074,IN,6854,methoxsalen
1116731,IN,324072,dimethicone
10757,IN,10757,triacetoneamine-N-oxyl
991680,IN,10172,sulfadimethoxine
1788984,IN,6878,methylene blue
240559,IN,9525,salicylic acid
900141,IN,27334,hypromellose
312893,IN,9525,salicylic acid
2532534,IN,2532534,acid green 50
1363435,IN,1370594,laurate
1426617,IN,38609,triclocarban
151174,IN,4917,nitroglycerin
1094102,IN,8514,polyethylene glycol 400
1251411,IN,272,activated charcoal
704876,IN,8834,protein C
1492300,IN,1492300,vaccinia virus strain New York City Board of Health live antigen
701627,IN,11246,vitamin A
25655,IN,29155,magnesium carbonate
153668,IN,83818,irbesartan
206349,IN,5492,hydrocortisone
1650274,IN,2418,cholecalciferol
1045430,IN,11423,zinc oxide
217010,IN,72143,raloxifene
1053330,IN,10223,sulfur
1046593,IN,1378,benzalkonium
1086947,IN,5492,hydrocortisone
2054103,IN,2054103,direct blue 2
150985,IN,11295,water
724154,IN,9524,sulfasalazine
220372,IN,9601,scopolamine
491498,IN,2062,carboxymethylcellulose
42892,IN,62372,hyaluronate
226343,IN,3264,dexamethasone
705159,IN,9796,simethicone
892484,IN,892484,strawberry allergenic extract
1312492,IN,448,ethanol
359751,IN,6750,menthol
844379,IN,89821,witch hazel
203494,IN,3443,diltiazem
1247719,IN,89821,witch hazel
545626,IN,52885,monofluorophosphate
310926,IN,5509,hydroquinone
727782,IN,2274413,"hepatitis A virus strain CR 326F antigen, inactivated"
876193,IN,221147,polyethylene glycol 3350
1041798,IN,34693,propylene glycol
1812081,IN,1812081,disperse blue 3
1088444,IN,1088438,6-O-palmitoylascorbic acid
1311689,IN,1311689,glycerol formal
858356,IN,3435,iodoquinol
1312376,IN,1312376,influenza B virus
153031,IN,5509,hydroquinone
197573,IN,3255,desoximetasone
377681,IN,324072,dimethicone
36387,IN,36387,"sennosides, USP"
1355829,IN,1355829,manuka oil
215431,IN,1191,aspirin
978009,IN,6468,loperamide
2592072,IN,2592072,Terminalia arjuna whole extract
1297960,IN,6135,ketoconazole
308753,IN,1596,bisacodyl
630265,IN,10030,stannous fluoride
340721,IN,4850,glucose
2469246,IN,2469246,HC red no. 3
9641,IN,9641,selenium
2563676,IN,2563676,acid blue 80
729818,IN,1378,benzalkonium
2604879,IN,6387,lidocaine
1233031,IN,2418,cholecalciferol
1309230,IN,1309230,orange oil
1547660,IN,41126,fluticasone
1149334,IN,62372,hyaluronate
1053200,IN,324072,dimethicone
892560,IN,7052,morphine
1996986,IN,1996986,large white petunia whole extract
1926332,IN,86009,insulin lispro
311715,IN,577312,"mineral oil, light"
420222,IN,6750,menthol
1094908,IN,7980,penicillin G
1305601,IN,1305601,carbomer interpolymer type A (allyl sucrose crosslinked)
247835,IN,448,ethanol
36676,IN,36676,sodium bicarbonate
1038747,IN,5499,hydrogen peroxide
2369388,IN,34693,propylene glycol
999457,IN,999457,Fusarium compactum allergenic extract
1364404,IN,1364404,long pepper extract
1798389,IN,5224,heparin
967558,IN,11423,zinc oxide
1232161,IN,1952,camphor
218128,IN,762817,rubella virus vaccine live (Wistar RA 27-3 strain)
2388134,IN,2388134,"citronellyl nitrile, (+/-)"
1356671,IN,1426,benzyl alcohol
1421148,IN,1421148,Bos taurus duodenum preparation
106258,IN,5492,hydrocortisone
197454,IN,2231,cephalexin
308182,IN,723,amoxicillin
1095545,IN,8928,psyllium
2119390,IN,2119365,esketamine
1302174,IN,11423,zinc oxide
1600439,IN,1600439,totarol
212586,IN,9525,salicylic acid
27985,IN,27985,isopropyl myristate
1593128,IN,1593128,meningococcal group B vaccine
866307,IN,2002,carbamazepine
2037,IN,2037,carbon monoxide
1486496,IN,807219,"typhoid Vi polysaccharide vaccine, S typhi Ty2 strain"
2177291,IN,1657131,influenza A virus (H3N2) antigen
1363566,IN,1363566,laureth-7
1000990,IN,7812,oxymetazoline
1376214,IN,1376214,Corydalis ambigua tuber extract
1244205,IN,798304,"diphtheria toxoid vaccine, inactivated"
1488302,IN,4271,factor XIII
104849,IN,4493,fluoxetine
315610,IN,2239,cephradine
857299,IN,2597,clomipramine
208112,IN,5487,hydrochlorothiazide
1535356,IN,9873,sodium fluoride
4061,IN,4061,erythrosine
1183277,IN,1399,benzocaine
1309960,IN,1309960,Iberis amara seed extract
996982,IN,161,acetaminophen
1291430,IN,1291425,docosaenoic acid
106199,IN,11002,urea
317616,IN,723,amoxicillin
377933,IN,10169,sulfacetamide
374301,IN,11246,vitamin A
892565,IN,892565,orange allergenic extract
1370765,IN,5492,hydrocortisone
2221,IN,2221,cellulose
19711,IN,48203,clavulanate
762595,IN,762595,Salmonella typhi Ty21a live antigen
21406,IN,21406,ubidecarenone
432572,IN,4099,"estrogens, conjugated (USP)"
978005,IN,6468,loperamide
1307051,IN,448,ethanol
151802,IN,113608,fusidate
1666317,IN,4249,factor IX
1299655,IN,314881,undecylenate
973880,IN,973880,fig allergenic extract
428898,IN,2473,chondroitin sulfates
205100,IN,2635,coal tar
485647,IN,4462,fluocinonide
1658105,IN,2274413,"hepatitis A virus strain CR 326F antigen, inactivated"
7806,IN,7806,oxygen
2284286,IN,2418,cholecalciferol
4910,IN,4910,glycerin
227192,IN,8516,polyethylene glycols
1088869,IN,1151,ascorbic acid
282465,IN,1897,calcium carbonate
435020,IN,2418,cholecalciferol
142440,IN,6387,lidocaine
151414,IN,1347,beclomethasone
152056,IN,6980,minocycline
285167,IN,285167,Urtica urens homeopathic preparation
852136,IN,852136,Johnson grass pollen extract
8516,IN,8516,polyethylene glycols
285251,IN,285251,oats preparation
2281737,IN,1047072,moxidectin
1424910,IN,1424910,high-density polyethylene
798304,IN,798304,"diphtheria toxoid vaccine, inactivated"
216664,IN,1514,betamethasone
808917,IN,4550,fosfomycin
365677,IN,1605101,insulin isophane
581549,IN,4083,estradiol
42954,IN,42954,vitamin B6
891710,IN,324072,dimethicone
381044,IN,6057,isosorbide
1545174,IN,5492,hydrocortisone
309112,IN,2231,cephalexin
216253,IN,10600,timolol
639194,IN,161,acetaminophen
204681,IN,2635,coal tar
1364467,IN,1364467,Haemophilus influenzae
2177696,IN,1657128,influenza A virus (H1N1) antigen
198245,IN,37806,terconazole
35465,IN,35465,Rho(D) immune globulin
857366,IN,3743,econazole
202844,IN,8638,prednisolone
484348,IN,484348,omega-3 acid ethyl esters (USP)
1730435,IN,1730435,elastin
692576,IN,283742,esomeprazole
2023,IN,2023,carbocysteine
331850,IN,3634,dothiepin
104155,IN,4910,glycerin
200010,IN,324072,dimethicone
835251,IN,11359,lutein
1291987,IN,21212,clarithromycin
11149,IN,11149,vasopressin (USP)
216171,IN,9525,salicylic acid
208813,IN,10627,tobramycin
1441651,IN,1441651,leptin
203167,IN,2231,cephalexin
904158,IN,221147,polyethylene glycol 3350
3361,IN,3361,dicyclomine
6227,IN,6227,lanolin
309114,IN,2231,cephalexin
861495,IN,2590,clobetasol
1309239,IN,1309239,coconut oil
865098,IN,86009,insulin lispro
807239,IN,807219,"typhoid Vi polysaccharide vaccine, S typhi Ty2 strain"
202896,IN,4099,"estrogens, conjugated (USP)"
900138,IN,27334,hypromellose
313138,IN,10184,sulfanilamide
1658472,IN,854930,Streptococcus pneumoniae type 1 capsular polysaccharide antigen
1311202,IN,9525,salicylic acid
849750,IN,42954,vitamin B6
2562998,IN,1657128,influenza A virus (H1N1) antigen
48008,IN,48008,chloroacetate
1314891,IN,1314891,latex
1010763,IN,3992,epinephrine
830467,IN,830464,"rabies virus vaccine wistar strain PM-1503-3M (human), inactivated"
404044,IN,5492,hydrocortisone
1358612,IN,6902,methylprednisolone
2590818,IN,6373,levonorgestrel
581660,IN,448,ethanol
311036,IN,253182,"insulin, regular, human"
2367800,IN,1399,benzocaine
308191,IN,723,amoxicillin
748987,IN,7514,norethindrone
688240,IN,4099,"estrogens, conjugated (USP)"
1362740,IN,1362740,4-phenylenediamine
866305,IN,2002,carbamazepine
1233536,IN,7980,penicillin G
310467,IN,1596450,gentamicin
1088774,IN,34296,potassium bicarbonate
2104292,IN,852074,wing scale pollen extract
2630670,IN,343048,treprostinil
1855514,IN,6373,levonorgestrel
371044,IN,19143,beta carotene
1093059,IN,2596,clomiphene
1367185,IN,1367185,interleukin-6
9774,IN,9774,silicon
1305638,IN,1305638,almond oil
114883,IN,807219,"typhoid Vi polysaccharide vaccine, S typhi Ty2 strain"
208821,IN,10627,tobramycin
10582,IN,10582,levothyroxine
314221,IN,9796,simethicone
1551474,IN,42347,bupropion
313048,IN,1483317,hypochlorite
856462,IN,8787,propranolol
308192,IN,723,amoxicillin
203302,IN,8896,pseudoephedrine
1658157,IN,797752,hepatitis B surface antigen vaccine
723,IN,723,amoxicillin
283537,IN,283537,anamu preparation
902307,IN,5933,iodine
208545,IN,10572,thyroid (USP)
846138,IN,2418,cholecalciferol
1790680,IN,5492,hydrocortisone
29501,IN,29501,meningococcal group A polysaccharide
313323,IN,10454,thiamine
1085773,IN,10759,triamcinolone
361920,IN,9863,sodium chloride
1191260,IN,25126,fluocinolone
496585,IN,2582,clindamycin
260025,IN,260025,Echinacea purpurea extract
2110527,IN,6676,meclizine
1728770,IN,1728770,insulin-like growth factor 2
667889,IN,6750,menthol
105898,IN,7258,naproxen
7602,IN,7602,o-phthalaldehyde
212978,IN,29155,magnesium carbonate
4099,IN,4099,"estrogens, conjugated (USP)"
1038558,IN,1378,benzalkonium
58930,IN,20610,cetirizine
1494199,IN,11423,zinc oxide
202750,IN,8611,povidone-iodine
225030,IN,50166,fosinopril
266364,IN,266364,bearberry preparation
1374726,IN,2062,carboxymethylcellulose
1797833,IN,7213,ipratropium
891709,IN,11256,vitamin E
1095547,IN,8928,psyllium
2601101,IN,62372,hyaluronate
1801243,IN,1347,beclomethasone
1187868,IN,435,albuterol
1433193,IN,1006654,amprolium
1547582,IN,854930,Streptococcus pneumoniae type 1 capsular polysaccharide antigen
1365899,IN,31994,norgestimate
1359109,IN,3355,diclofenac
2360583,IN,2360571,Neisseria meningitidis serogroup A capsular polysaccharide tetanus toxoid protein conjugate vaccine
581494,IN,3435,iodoquinol
1996204,IN,2418,cholecalciferol
1797916,IN,1347,beclomethasone
1594432,IN,386938,follitropin alfa
1442719,IN,221082,colloidal oatmeal
226084,IN,1347,beclomethasone
314455,IN,314455,silk allergenic extract
309552,IN,21766,crotamiton
2177500,IN,1657128,influenza A virus (H1N1) antigen
619354,IN,27221,hydrotalcite
214582,IN,214582,glatiramer
2591799,IN,2591799,Bos taurus large intestine preparation
797544,IN,797541,isopropyl alcohol
2597535,IN,1992,capsaicin
203105,IN,5492,hydrocortisone
427163,IN,31819,nitazoxanide
8134,IN,8134,phenobarbital
215705,IN,10637,tolnaftate
205023,IN,9525,salicylic acid
2272623,IN,3322,diazepam
2626480,IN,2626471,allogeneic cultured keratinocytes and dermal fibroblasts in murine collagen
7407,IN,7407,nicotine
748281,IN,1514,betamethasone
2201654,IN,4083,estradiol
1426856,IN,1426856,collagen type I
808921,IN,4550,fosfomycin
11327,IN,11327,white wax
308934,IN,20063,calcium polycarbophil
1010769,IN,6387,lidocaine
152402,IN,2541,cimetidine
995019,IN,4917,nitroglycerin
1437978,IN,314881,undecylenate
10831,IN,10180,sulfamethoxazole
1363446,IN,1363446,soy sterol
834061,IN,7984,penicillin V
42940,IN,704,amitriptyline
198640,IN,4511,folic acid
215374,IN,54365,pamabrom
285208,IN,285208,Arnica montana extract
1442442,IN,1897,calcium carbonate
141990,IN,1151,ascorbic acid
152414,IN,1202,atenolol
1658156,IN,797752,hepatitis B surface antigen vaccine
1167118,IN,29155,magnesium carbonate
757968,IN,17128,lansoprazole
315586,IN,2176,cefaclor
1743781,IN,6902,methylprednisolone
1653196,IN,51428,"insulin aspart, human"
1658100,IN,2274413,"hepatitis A virus strain CR 326F antigen, inactivated"
203439,IN,798361,hepatitis A vaccine (inactivated) strain HM175
313782,IN,161,acetaminophen
2635,IN,2635,coal tar
1359360,IN,34347,pramoxine
1043244,IN,39952,zinc pyrithione
763103,IN,763096,"poliovirus vaccine inactivated, type 1 (Mahoney)"
203808,IN,7407,nicotine
1368022,IN,612,aluminum hydroxide
217815,IN,27334,hypromellose
1310262,IN,1310262,Bos taurus knee joint preparation
1012068,IN,6387,lidocaine
199461,IN,3634,dothiepin
863965,IN,66887,racepinephrine
861503,IN,2590,clobetasol
1039547,IN,34347,pramoxine
151392,IN,48203,clavulanate
351068,IN,3368,dienestrol
1442723,IN,221082,colloidal oatmeal
1148141,IN,1148138,icatibant
1658066,IN,798361,hepatitis A vaccine (inactivated) strain HM175
202088,IN,618974,4-aminobenzoate
205336,IN,5499,hydrogen peroxide
3706,IN,3706,dydrogesterone
309115,IN,2231,cephalexin
31447,IN,31447,nabilone
36345,IN,36345,selenium sulfide
372595,IN,10582,levothyroxine
211108,IN,8611,povidone-iodine
1169832,IN,61148,somatropin
1150288,IN,11248,vitamin B12
689881,IN,2635,coal tar
1427198,IN,1427198,cupric cation
858735,IN,62427,ursodeoxycholate
285140,IN,1596,bisacodyl
331849,IN,3634,dothiepin
1668267,IN,4053,erythromycin
202886,IN,6691,medroxyprogesterone
2601105,IN,62372,hyaluronate
6837,IN,6837,methionine
213271,IN,136411,sildenafil
252965,IN,8611,povidone-iodine
197785,IN,5492,hydrocortisone
206978,IN,6135,ketoconazole
203155,IN,23386,diphenylpyraline
2283518,IN,2265690,cenobamate
207108,IN,4450,fluconazole
825159,IN,26744,hepatitis B immune globulin
202508,IN,4917,nitroglycerin
196487,IN,19831,budesonide
1304974,IN,1304974,icosapent ethyl
1313699,IN,1313699,methylcellulose (15 CPS)
10865,IN,10865,tromethamine
2588955,IN,2588955,Nuphar lutea leaf extract
203159,IN,36117,salmeterol
2466981,IN,2466982,polyglycolate
1311376,IN,1311376,Chamaemelum nobile extract
232540,IN,232540,red yeast rice
89552,IN,89552,phenoxyethanol
1014099,IN,618597,eicosapentaenoate
220330,IN,10627,tobramycin
94474,IN,6582,magnesium oxide
106871,IN,1596450,gentamicin
198440,IN,161,acetaminophen
856571,IN,8787,propranolol
639566,IN,42954,vitamin B6
1300889,IN,1992,capsaicin
1182888,IN,1399,benzocaine
1306125,IN,1306125,alpha-amylase A type 1-2
27306,IN,27306,hylan
252761,IN,21406,ubidecarenone
852839,IN,852839,hog skin extract
350376,IN,350376,Sepia extract
1309280,IN,1309280,Abies sachalinensis var. sachalinensis oil
200977,IN,161,acetaminophen
1738536,IN,1514,betamethasone
978727,IN,67109,dalteparin
328372,IN,4331,fenoprofen
1049167,IN,8896,pseudoephedrine
1851,IN,1085787,butylscopolamine
11251,IN,11251,vitamin B complex
2274107,IN,6750,menthol
4815,IN,4815,glyburide
203705,IN,3264,dexamethasone
358349,IN,1605101,insulin isophane
93558,IN,1605101,insulin isophane
899866,IN,24591,ethynodiol
1309289,IN,1309289,Calendula officinalis flower extract
405113,IN,1897,calcium carbonate
852074,IN,852074,wing scale pollen extract
1485046,IN,1485046,arsenic cation
10811,IN,10811,trihexyphenidyl
1324086,IN,1324086,Aspergillus ruber
2058501,IN,8928,psyllium
798426,IN,797752,hepatitis B surface antigen vaccine
311723,IN,6984,minoxidil
809438,IN,53750,nonoxynol-9
199166,IN,21406,ubidecarenone
2177290,IN,1657128,influenza A virus (H1N1) antigen
2106334,IN,798304,"diphtheria toxoid vaccine, inactivated"
33094,IN,33094,peppermint oil
1372744,IN,1605101,insulin isophane
377520,IN,11002,urea
2625124,IN,2625124,apple peel extract
1102139,IN,10637,tolnaftate
539712,IN,7454,nitrofurantoin
597970,IN,83367,atorvastatin
2287763,IN,448,ethanol
798361,IN,798361,hepatitis A vaccine (inactivated) strain HM175
151568,IN,10691,tranexamic acid
151399,IN,10180,sulfamethoxazole
1362685,IN,1362685,betadex
59768,IN,59768,pegademase bovine
978947,IN,4083,estradiol
891522,IN,10454,thiamine
220619,IN,8091,petrolatum
1044541,IN,508,allantoin
375770,IN,89781,"belladonna extract, USP"
283100,IN,235496,"sodium phosphate, monobasic"
152698,IN,41493,meloxicam
1923428,IN,10600,timolol
312935,IN,36387,"sennosides, USP"
374230,IN,10829,trimethoprim
1087414,IN,11248,vitamin B12
310197,IN,4099,"estrogens, conjugated (USP)"
807277,IN,798304,"diphtheria toxoid vaccine, inactivated"
316085,IN,5781,indomethacin
1046531,IN,236388,levomenthol
33093,IN,33093,peppermint preparation
544473,IN,3992,epinephrine
198286,IN,10600,timolol
798306,IN,798306,"tetanus toxoid vaccine, inactivated"
1420979,IN,1420979,schorl tourmaline
889548,IN,889548,cotton allergenic extract
1311545,IN,1311545,N-methylephedrine
203547,IN,1085787,butylscopolamine
891631,IN,3255,desoximetasone
20772,IN,1399,benzocaine
308974,IN,2002,carbamazepine
817579,IN,161,acetaminophen
201883,IN,7454,nitrofurantoin
885580,IN,24947,ferrous sulfate
2620843,IN,2620843,polyamide-5
1099937,IN,1099937,adenovirus type 7 vaccine live
1242887,IN,4910,glycerin
72611,IN,83682,cefditoren
227142,IN,27334,hypromellose
416784,IN,10030,stannous fluoride
340705,IN,4986,chorionic gonadotropin
798302,IN,798302,"acellular pertussis vaccine, inactivated"
5666,IN,5666,immunoglobulin G
899378,IN,899378,blackberry allergenic extract
232539,IN,232539,calfactant
334703,IN,4112,ethamsylate
1190919,IN,798304,"diphtheria toxoid vaccine, inactivated"
1185221,IN,19478,bismuth subsalicylate
315609,IN,2239,cephradine
1245230,IN,2358,chlorhexidine
1359107,IN,3355,diclofenac
545890,IN,161,acetaminophen
577961,IN,3288,dextroamphetamine
199129,IN,20877,chloroxylenol
475342,IN,475342,dasatinib
199902,IN,11002,urea
1099933,IN,1099933,adenovirus type 4 vaccine live
1999800,IN,1999800,seractide
998677,IN,2599,clonidine
1542994,IN,25126,fluocinolone
470149,IN,7247,naphazoline
702296,IN,3640,doxycycline
752388,IN,314684,"insulin lispro protamine, human"
205099,IN,2635,coal tar
2669,IN,2669,cod liver oil
153882,IN,17627,alverine
151131,IN,7417,nifedipine
1486875,IN,2582,clindamycin
1309492,IN,1309492,lemon balm oil
9863,IN,9863,sodium chloride
1311040,IN,1311040,brown rice preparation
1363423,IN,1596450,gentamicin
1441688,IN,1441688,prothrombin
240651,IN,221082,colloidal oatmeal
124323,IN,124323,grapefruit extract
284831,IN,1897,calcium carbonate
206805,IN,28889,loratadine
7906,IN,7906,paraffin
352771,IN,6932,miconazole
316283,IN,6876,methyldopa
1088194,IN,637366,wheat dextrin
238754,IN,5492,hydrocortisone
27781,IN,27781,iopromide
705934,IN,10637,tolnaftate
1797885,IN,7407,nicotine
798429,IN,797752,hepatitis B surface antigen vaccine
105899,IN,7258,naproxen
152483,IN,4083,estradiol
142091,IN,272,activated charcoal
1311056,IN,1311056,causticum preparation
413261,IN,20877,chloroxylenol
582299,IN,99,6-aminocaproic acid
318340,IN,318340,Aloe vera preparation
240464,IN,221082,colloidal oatmeal
1946823,IN,1946823,nonathymulin
1986821,IN,1986821,varicella zoster virus glycoprotein E
2170634,IN,5666,immunoglobulin G
1193231,IN,82003,docusate
8156,IN,8156,phenylalanine
903701,IN,10814,liothyronine
2058490,IN,68730,milbemycin oxime
2604802,IN,2604577,vonoprazan
2287734,IN,2287734,Ganoderma lucidum whole extract
89781,IN,89781,"belladonna extract, USP"
1737637,IN,6387,lidocaine
1422060,IN,2358,chlorhexidine
315429,IN,1191,aspirin
995018,IN,4917,nitroglycerin
1310249,IN,1310249,Bos taurus bile preparation
1737850,IN,6878,methylene blue
899916,IN,899916,scallop allergenic extract
310181,IN,4083,estradiol
1388,IN,1388,lindane
1358512,IN,6902,methylprednisolone
311511,IN,29787,methyl salicylate
1087262,IN,11248,vitamin B12
267366,IN,267366,sodium ascorbate
1370760,IN,5492,hydrocortisone
1167119,IN,29155,magnesium carbonate
314124,IN,7299,neomycin
104129,IN,104129,ispaghula husk
1348,IN,1347,beclomethasone
310861,IN,5492,hydrocortisone
253181,IN,1605101,insulin isophane
1085908,IN,448,ethanol
258326,IN,258326,St. John's wort extract
53553,IN,53553,nattokinase
205604,IN,3640,doxycycline
386055,IN,386055,lauromacrogols
750837,IN,4053,erythromycin
1745091,IN,6387,lidocaine
1183558,IN,19831,budesonide
754509,IN,358255,aprepitant
199106,IN,8984,pyrantel
616817,IN,19831,budesonide
825321,IN,281,acyclovir
204836,IN,2635,coal tar
1235018,IN,1378,benzalkonium
2393774,IN,2393774,pulegone
1737569,IN,6387,lidocaine
202692,IN,6135,ketoconazole
49610,IN,797752,hepatitis B surface antigen vaccine
833164,IN,28031,itraconazole
1087242,IN,1952,camphor
6750,IN,6750,menthol
1144758,IN,684879,pyridoxine
3538,IN,42612,cromolyn
8887,IN,435,albuterol
37789,IN,1202,atenolol
1098247,IN,1098247,Pacific salmon allergenic extract
48470,IN,6406,lipase
979494,IN,52175,losartan
198142,IN,8638,prednisolone
335626,IN,10032,stanozolol
25483,IN,25483,gadoteridol
1421627,IN,1421627,Ipomoea pes-caprae flowering top extract
606589,IN,10337,taurine
351427,IN,7407,nicotine
795735,IN,591622,varenicline
1422,IN,1422,benzphetamine
1000145,IN,6691,medroxyprogesterone
861472,IN,2590,clobetasol
2569483,IN,1435105,Trametes versicolor whole extract
1310215,IN,1310215,Ruta graveolens whole extract
1309250,IN,1309250,olive oil
801092,IN,435,albuterol
1010749,IN,3992,epinephrine
209326,IN,7407,nicotine
1591916,IN,1591916,fibroblast growth factor-1
759473,IN,69722,zanamivir
617296,IN,48203,clavulanate
1310458,IN,1310458,Lachesis muta venom
1311144,IN,1311144,Sepia officinalis juice
104100,IN,6102,kaolin
213322,IN,88014,rizatriptan
197817,IN,5781,indomethacin
1801283,IN,4462,fluocinonide
204602,IN,1291,bacitracin
804149,IN,324072,dimethicone
1426919,IN,1426919,bay oil (Pimenta racemosa)
82242,IN,82242,chlorophyllin copper complex
1005831,IN,8638,prednisolone
9800,IN,9800,sincalide
807225,IN,807219,"typhoid Vi polysaccharide vaccine, S typhi Ty2 strain"
213442,IN,1605101,insulin isophane
392038,IN,9873,sodium fluoride
1866539,IN,5499,hydrogen peroxide
284637,IN,284637,hylan G-F 20
343079,IN,1605101,insulin isophane
202998,IN,24605,etodolac
1160309,IN,5140,helium
1370769,IN,1370769,raspberry extract
1535513,IN,1535513,basic fuchsin
315604,IN,140587,celecoxib
1117536,IN,34316,potassium nitrate
1368342,IN,1368342,prickly pear fruit extract
412113,IN,11256,vitamin E
144377,IN,144377,Arnica extract
1172461,IN,10030,stannous fluoride
2629643,IN,2629643,"triolein, 1-C-14"
643139,IN,6536,lysine
307746,IN,612,aluminum hydroxide
215493,IN,42319,nizatidine
1248057,IN,8163,phenylephrine
1484865,IN,1484865,neral
1441544,IN,1441544,Alstonia constricta bark extract
1190914,IN,798304,"diphtheria toxoid vaccine, inactivated"
847199,IN,1605101,insulin isophane
1041498,IN,448,ethanol
1725070,IN,6750,menthol
242874,IN,242874,constant albicans extract
992528,IN,37801,terbinafine
213178,IN,25025,finasteride
42347,IN,42347,bupropion
860895,IN,14851,vigabatrin
1125493,IN,1992,capsaicin
1364294,IN,1364294,acetylated lanolin alcohols
998673,IN,2599,clonidine
1992303,IN,10600,timolol
825179,IN,1191,aspirin
1653202,IN,51428,"insulin aspart, human"
798482,IN,798361,hepatitis A vaccine (inactivated) strain HM175
1426165,IN,34822,protein S
371047,IN,19143,beta carotene
142001,IN,27334,hypromellose
1090846,IN,1919,calcium phosphate
1309389,IN,1309389,emu oil
151363,IN,5492,hydrocortisone
2054124,IN,1952,camphor
215960,IN,3478,dinoprostone
1797870,IN,108118,mometasone
315369,IN,723,amoxicillin
10355,IN,10355,temazepam
863622,IN,32675,oxybutynin
1926601,IN,3498,diphenhydramine
312357,IN,8134,phenobarbital
283583,IN,283583,Rhus toxicodendron extract
202888,IN,6691,medroxyprogesterone
1797931,IN,19831,budesonide
202645,IN,5492,hydrocortisone
1797933,IN,41126,fluticasone
1233290,IN,7980,penicillin G
1294255,IN,20877,chloroxylenol
1248129,IN,82003,docusate
27792,IN,27792,ioversol
1426680,IN,5666,immunoglobulin G
104055,IN,17627,alverine
1801240,IN,10759,triamcinolone
376616,IN,2669,cod liver oil
