clean_name,rxcui
Tubifast Stockinette Elasticated Viscose Blue Line Large Limb 7.5Cm X5M,1655936
Dermatonics Once Heel Balm,1488329
Local Mixture : 10 Per Cent Salicyclic Acid In Emulsifying Ointment,308814
Comfifast Easy Wrap Vest Long Sleeve Small Adult,1090496
Methylcellulose 450 Tabs 500Mg,198750
Flexitol Heel Balm,1488329
Hydromoor Eye Drops Unit Dose Preservative Free 0.3 % 0.4 Ml Unit Dose,1164620
Hydromol Emollient Ointment 500G,151875
Activated Charcoal Suspension 50 Grams 240 Ml,309150
Accucheck Softclix Lancet,1307719
Dermatix Gel 60 Grams,866164
Laxido Orange Oral Powder Sachets Sugar Free,1868847
One Touch Ultrasoft Lancets,581662
One Touch Ultra Reagent Strip,220601
Clinitas Carbomer Eye Gel 0.2 %,235535
Acti-Fast Stockinette 5 Cm X 1 M Green Line,1310705
Xailin Hydrate Eye Drops Preservative Free 0.3 %,477589
Accu Check Active,1994404
Thealoz Duo Eye Drops Preservative Free,1369778
Elasticated Viscose Stockinette Acti Fast Blue Line Large Limb 7.5Cmx3M,1655936
Optive Plus Eye Drops 0.5 %,1188426
Hydromol Ointment,151875
One Touch Ultrasoft Bar Lancets,581662
Hylo-Tear Eye Drops 0.1 %,1089798
Glucomen Test Sensors,70599
Octenilin Wound Gel,2119240
Prontosan Wound Irrigation Solution Bottle,155046
Hy-Opti Preservative-Free Eye Drops 0.1 %,2627283
Adcal-D3 Caplets 750 Mg + 5 Micrograms 200 Units,1243415
Renasys Go Canister Kit 300 Ml With Solidifier Small,1438119
Softclix Lancets Type C 0.4Mm 28 Gauge,1305738
Pelican Cohesive Seals Small 48 Mm 839002,1372255
Softclix Ii Lancet Type C 0.4Mm 28Gauge,2471083
Tubifast 2-Way Stretch Socks One Size,1483141
Comfifast Easy Wrap Leggings Large Adult,209990
Peak Flow Meter Micropeak En Iso 23747:2007 Standard Range,5657
Glucotrend Plus Reagent Strip,152000
Microlet Lancets Type A 0.5 Mm 28 Gauge,1312375
Solution R Catheter Maintenance Solution 6 %,800985
Vita-Pos Eye Ointment,801169
Coban 2 Multi-Layer Compression Bandaging Kit One Size,2634560
Duaklir Genuair Dry Powder Inhaler 340 Micrograms + 12 Micrograms Dose,2205097
Peak Flow Meter Vitalograph En Iso 23747:2007 Standard Range,5657
Optiflo S 0.9% Saline 100Ml,312984
Lumecare Hypromellose Eye Drops Unit Dose Preservative Free 0.3 %,310933
Glucomen Visio Sensors 50 319- 0964,1999404
Autopen Classic Pen 3Ml 1 Unit 1-21Units,1038855
Bd-Microfine + Lancets Type A 0.20 Mm 33 Gauge,1312375
Clinifast Leggings Medium Adult,1310578
Novopen 3 Pen Classic 3Ml 1Unit 2-70 Units,581662
Prontosan Wound Irrigation Solution 40 Ml Unit Dose,1165405
Aerochamber Plus Spacer Device Child Yellow With Mask,219862
Compression Hosiery Class Iii Kneecap Flatbed Knit Standard Stock Size,215502
Compression Hosiery Class Iii Kneecap Circular Knit Standard Stock Size,215502
Optiflo S Catheter Patency Solution 0.9 %,24912
Aerochamber Plus Device For Use With Pressurised Aerosol With Mask Child,1656327
Artelac Splash Eye Drops Preservative-Free 0.2 % 0.5 Ml Unit Dose,359634
Zapain Tablets 30 Mg + 500 Mg,1302351
Humapen Ergo Pen Teal 3Ml 1 Unit 1-60 Units,1367410
Sodium Hyaluronate Eye Drops Preservative-Free 0.1 %,1655960
Tubifast Stockinette 7.5 Cm X 5 M Blue Line,1422107
Elasticated Viscose Stockinette 10.75 Cm X 5 M Yellow Line,1305564
Nspire Piko-1 Peak Flow Meter Standard Range 346005-Eu,215502
Kenalog Vial 1Ml Inj 40Mg Ml,2480108
Elasticated Viscose Stockinette Tubifast 2-Way Stretch Yellow Line Trunk Child 10.75Cmx5M,1305564
Clinimed Lbf Barrier Cream 3821,309916
Local Mixture : The Mixture Mixture+30913,308814
50% Liquid Parafin 50% Soft White Parafin Oint,8091
Aerochamber Plus Device For Use With Pressurised Aerosol With Mask Adult,1656327
Systane Eye Drops,477589
Tubifast 2-Way Stretch Gloves Small Medium Adult Medium Large Child,1310578
Paraffin White Soft Liquid 50:50,8091
Unistik 3 Comfort Lancets 1.8 Mm 28 Gauge,1088604
Ocusan Eye Drops 0.2 % 0.5 Ml Unit Dose,2369384
Comfifast Stockinette 7.5 Cm X 1 M Blue Line,1310605
Softclix Lancet 0.4Mm 28Gauge,1307719
Hylo-Forte Eye Drops 0.2 %,1663747
Clinifast Gloves Medium Adult,968663
Ascensia Glucodisc Test Sensor Discs,1311365
Comfifast Stockinette 10.75 Cm X 5 M Yellow Line,1305564
Nyda Spray,701916
Ascensia Autodisc Test Sensor Discs,1311365
Aerochamber Plus Device For Use With Pressurised Aerosol,1144131
One Touch Finepoint Lancet 0.5Mm 25Gauge,581662
Optive Fusion Eye Drops 0.1 %,1100650
Balance Activ Bv Vaginal Gel,1309303
Octenilin Wound Irrigation Solution 350 Ml Bottle,2119240
Unilet Comfortouch Lancet 0.375Mm 28Gauge,1307719
Peak Flow Meter Mini Wright En Iso 23747:2007 Standard Range,5657
Systane Eye Drops Hydroxypropyl Guar 10Ml Bottle,1361655
Hylo-Tear Eye Drops Preservative-Free 0.1 %,309714
Methylcellulose 450 Tablets 500Mg,198750
Acti-Fast 2-Way Stretch Stockinette 7.5 Cm X 5 M Blue Line,1087043
Humapen Luxura Hd Re-Usable Pen 3 Ml 1-30 Units,2593946
One Touch Ultra Soft Lancets,207074
Humapen Luxura Re-Usable Pen 3 Ml 1-60 Units Champagne,2593946
Tubifast 2-Way Stretch Stockinette 10.75 Cm X 5 M Yellow Line,1305564
Dimeticone Lot 4%,1116731
Macrogol Compound Oral Powder Sachets Sugar Free 13.8 Grams Sachet,824586
Tubifast Stockinette 10.75 Cm X 5 M Yellow Line,1305564
Artificial Saliva Dpf Gel,1426466
Tubifast 2-Way Stretch Gloves Medium Large Adult,1483141
Oxyal Eye Drops 0.15 %,10757
Epaderm Cream 500G Pump,1422103
As Saliva Orthana 50Ml Spray,1426466
Wellspect Lofric Primo Nelaton Catheter Non Pvc Male 12Ch 4101225,991680
Novopen Echo Re-Usable Pen Blue 3 Ml 0.5 Unit Dial Up 0.5-30 Units,1788984
Opus Lift Plus 360 Medical Adhesive Remover Spray 5506,240559
Hylo-Forte Eye Drops Preservative-Free 0.2 %,900141
Kelo-Cote Gel 60 G Tube,312893
Elasticated Viscose Stockinette Tubifast Green Line Medium Limb 5Cmx5M,2532534
Able Spacer Device For Use With Pressurised Aerosol,1363435
Artificial Saliva Dpf Pastilles,1426466
Lumecare Carbomer Eye Gel 0.2 %,235535
Novopen Echo Re-Usable Pen Red 3 Ml 0.5 Unit Dial Up 0.5-30 Units,1426617
Onetouch Finepoint Lancets Type A 0.5 Mm 25 Gauge,1312375
Peak Flow Meter Nspire Pocket Peak Standard Range,215502
Mesitran Ointment,151174
Clinifast Stockinette 7.5 Cm X 5 M Blue Line,1422107
Elasticated Viscose Stockinette Clinifast Blue Line Large Limb 7.5Cmx5M,1655936
Lumecare Long Lasting Eye Gel 0.2 %,477589
Blink Intensive Tears Eye Drops 0.2 %,1094102
Epaderm Cream Emollient 50G Pump,1251411
Clinifast Stockinette 5 Cm X 3 M Green Line,1310705
Peak Flow Meter Vitalograph Standard Range,215502
Xerotin Saliva Replacement Spray 100Ml,704876
Flexitol Heel Balm Emollient 200G,1488329
Pelican Cohesive Slims Small 48 Mm 839005,1492300
Fultium-D3 Capsules 800 Units,701627
Gaviscon Advance Oral Suspension Peppermint,25655
Hollister Vapro Pocket Hydrophilic Intermittent Catheter Male 40Cm 12Ch 70124,153668
White Soft Paraffin 50% White Soft In 50% Liquid,8091
Aerochamber Plus Device For Use With Pressurised Aerosol With Mask Infant,1656327
Qv Intensive Ointment,206349
Hydromol Oint,151875
Dermasilk Female Briefs Adult Large,209990
Comfifast Stockinette 10.75 Cm X 1 M Yellow Line,1305564
Fultium Daily D3 Drops 2 740 Units Ml,1650274
Systane Eye Drops Unit Dose Preservative Free 0.8 Ml Unit Dose,477589
K Two Reduced Latex Free Multi-Layer Compression Bandaging Kit Size 25-32 Cm 10 Cm,1045430
Blink Intensive Tears Eye Drops Unit Dose Preservative Free 0.2 %,1094102
Elasticated Viscose Stockinette Acti Fast Blue Line Large Limb 7.5Cmx1M,1655936
Vista-Methasone Drops 0.1 %,217010
Able Spacer With Face Mask Medium,1053330
Finepoint Lancets Type A 0.5 Mm 25 Gauge,1312375
Accu-Chek Soft Clix Lancets,2590603
K Two Multi-Layer Compression Bandaging Kit Size 18-25 Cm 10 Cm,1045430
Comfifast Multistretch Stockinette Medium Limb 5Cm X 1M Green Line,2532534
Kelo-Cote Gel,1046593
Rochester Medical Hydrosil Gripper Nelaton Catheter Male 12Ch 73612,1086947
Tubifast 2-Way Stretch Stockinette Elasticated Viscose Blue Line Large Limb 7.5Cmx3M,2054103
Comfifast Stockinette 5 Cm X 5 M Green Line,2532534
Stericlens Sterile Irrigation Solution Aerosol 100 Ml,150985
Sulphasalazine En 500Mg Tab,724154
Acti V.A.C Canister With Gel,220372
Aerochamber Plus Spacer Device Standard Blue,852834
One Touch Ultrasoft Lancet 0.4Mm 28 Gauge,581662
Artificial Saliva Dpf Spray,1426466
Carmellose Sodium Paste,491498
Multiclix Lancets 0.3 Mm 30 Gauge,197877
Hylo Forte Eye Drops Sodium Hyaluronate 10Ml Bottle,42892
Clinitas Eye Drops Unit Dose Preservative Free 0.4 %,226343
Softclix Xl Lancets Type C 0.8 Mm 21 Gauge,1305738
Medisense Thin Lancets Lancets,705159
Ensure Compact Liquid Strawberry,892484
Bd Microfine + Lancet Microfine + Lancet Formerly Microfine + Lancet 0.20Mm 33Gauge,1312492
Clement Clarke Mini-Wright Peak Flow Meter Standard Range 3103388,215502
Glucorx Safety Lancets 1.6 Mm 30 Gauge,359751
Medi-Test Protein 2 Strip Proteinuria Detection 50,844379
Carmize Preservative-Free Eye Drops 1 % 0.4 Ml Unit Dose,203494
Sharpsguard Sharpsbin 1 Litre,1493160
Hylo Tear Eye Drops Sodium Hyaluronate 10Ml Bottle,1089798
Systane Eye Drops 0.2 %,477589
Wellspect Lofric Primo Nelaton Catheter Male 12Ch 9601200,991680
Sensa T.R.A.C Pads M8275057 10,1247719
Tear-Lac Eye Drops 0.3 %,1089798
Kelo-Cote Spray 100 Ml,1046593
Universal Lancets 0.36 Mm 28 Gauge,545626
Lumecare Singles Hypromellose Eye Drops Preservative Free 0.3 % 0.5 Ml Unit Dose,310933
Xerotin Mouth Moistening Spray,704876
Tubifast 2-Way Stretch Stockinette 20 Cm X 1 M Purple Line,1483141
Flaminal Hydro Protease-Modulating Matrix Gel 15 G,310926
Glucomen Lx Test Sensors,70599
Hepatitis A Vaccine Inactivated Adsorbed Suspension For Injection 1 Ml Pre-Filled Syringe,727782
Macrogol Compound Oral Powder Sachets 13.8 Grams Sachet,876193
Systane Balance Eye Drops,1041798
Novopen 5 Re-Usable Pen Blue 3 Ml 1-60 Units,1812081
Compression Hosiery Class Ii Kneecap Flatbed Knit Standard Stock Size,215502
Flaminal Forte Protease-Modulating Matrix Gel 15 G,1088444
Unistik 3 Normal Lancets 1.8 Mm 23 Gauge,1311689
Peak Flow Meter Micropeak Standard Range,215502
Salts Secuplast Aloe Rings 25 Mm Sar25,858356
Able Spacer Spacer Device,1363435
Unilet Comfortouch Lancets Type A B 0.375Mm 28 Gauge,1312376
Comfifast Stockinette 5 Cm X 1 M Green Line,2532534
Clinifast Leggings Large Adult,209990
Peak Flow Meter Mini Wright En Iso 23747:2007 Low Range,5657
Dermablend Ultra-Corrective Foundation Cream Stick 14 Nude,153031
Freestyle Lancets Type A 0.5 Mm 25 Gauge,1312375
Etrivex Shampoo Appl 500Mcg G,197573
Salinum Saliva Replacement 300Ml,1426466
Unilet General Purpose Lancet 0.81Mm 21G,1012523
Autopen 24 Re-Usable Pen 3 Ml 2-42 Units An4200,2593946
Systane Ultra Eye Drops,1989901
Dermasilk Gloves Medium Adult,968663
Tubifast 2-Way Stretch Stockinette 7.5 Cm X 5 M Blue Line,1422107
Dimeticone Lotion 4 %,377681
Unilet Comfortouch Lancets Type A And B 0.375Mm 28 Gauge,36387
Activon Medical Grade Manuka Honey,1355829
Peak Flow Meter Nspire Pocket Peak Low Range,215431
Acti-Fast Stockinette 5 Cm X 3 M Green Line,1310705
Peak Flow Meter Nspire Pocket Peak En Iso 23747:2007 Standard Range,5657
Dermatonics Heel Balm,1488329
Imodium Classic Capsules 2 Mg,978009
Carmellose Sodium Oral Paste 16.7 %,491498
Humapen Memoir Re-Usable Pen 3 Ml 1-60 Units,2593946
Clinimed Appeel Sterile Medical Adhesive Remover Spray,240559
Elasticated Viscose Stockinette Comfifast Blue Line Large Limb 7.5Cmx5M,1655936
Arjun Cream 1 %,2592072
Thin Lancet Medisense Thin Lancet 0.36Mm 28 Gauge,705159
Humapen Luxura Re-Usable Pen 3 Ml 1-60 Units,2593946
Epaderm Emollient 500G Pump,1297960
Sst Saliva Stimulating Tablet 100 Tabs,308753
Solution G Catheter Maintenance Solution 3.23 %,630265
Unilet General Purpose Superlite Lancets Type A 0.66 Mm 23 Gauge,1312375
Glucomen Fine Lancet 0.45Mm 26Gauge,340721
Acti-Fast 2-Way Stretch Stockinette 10.75 Cm X 5 M Yellow Line,1087043
Novopen 3 Pen Fun Red 3Ml 1Unit 2-70 Units,2469246
Silgel Stc-Se Gel,9641
Ascensia Microlet Lancet 0.5Mm 28Gauge,2123038
Freestyle Lancets 0.5 Mm 28 Gauge,197877
Space Chamber Plus Spacer Device,152000
Compression Hosiery Class Iii Anklet Flatbed Knit Standard Stock Size,215502
Compression Hosiery Class Ii Kneecap Circular Knit Standard Stock Size,215502
Clikstar Re-Usable Pen Blue 3 Ml 1-80 Units,2563676
Unistik 3 Comfort Lancet 1.8Mm 28Gauge,1088604
Blumont Pharma Carbomer Eye Gel 0.2 %,235535
Softclix Ii Lancets,1999003
Salts Healthcare Wipeaway Plus No Sting Adhesive Remover Spray Wap,729818
Elasticated Viscose Stockinette Tubifast 2-Way Stretch Green Line Medium Limb 5Cmx3M,1483141
Ascensia Microfil Blood Testing Strip,2123038
Novopen 3 Re-Usable Pen Classic,2593946
Macrogol Compound Oral Liquid Npf Sugar Free,824586
Xailin Ha Eye Drops Preservative Free 0.2 %,2604879
Theical-D3 Chewable Tablets 1 Gram + 880 Units,1233031
Glucomen Visio Sensor,1999404
Sharpsguard Container 1 Litre Orange,1309230
Relvar Ellipta Dry Powder Inhaler 184 Micrograms + 22 Micrograms Dose,1547660
Clinifast Vest Long Sleeve Large Adult,1090496
Balance Activ Rx Vaginal Gel,1309303
Acti-Fast Stockinette 7.5 Cm X 5 M Blue Line,1422107
Dermatix Gel,866164
Compression Hosiery Class Iii Anklet Circular Knit Standard Stock Size,215502
Tubifast 2-Way Stretch Stockinette 20 Cm X 5 M Purple Line,1422107
Lumecare Sodium Hyaluronate Eye Drops 0.15 %,1149334
Medisense Optium B-Ketone Test Strip Blood Testing 8,1860422
Artificial Saliva Dpf Protective Spray,1053200
Femoston-Conti Tablets 500 Micrograms + 2.5 Mg,892560
Vanilla Blush Level 2 3 Support Vest Ladies White X Large Vblvw4,1996986
Novopen 3 Pen Junior Green 3Ml 0.5 Unit 1-35 Units,1926332
Systane Ultra Eye Drops Unit Dose Preservative Free 0.7 Ml Unit Dose,477589
Absorbent Cotton Gauze Type 13 Light Bp 1988 Sterile 90 Cm,311715
Flexitol Heel Balm Emollient 75G,1488329
Comfifast Easy Wrap Vest Long Sleeve Large Adult,1090496
Dermasilk Shirt Roll Neck Adult Large,209990
Dreamskin Briefs Female Adult Extra Large,420222
Arjun Cream 0.5 %,2592072
Local Mixture : Eumovate Aqueous,1094908
Artelac Rebalance Eye Drops 0.15 %,1309303
Dermatix Gel 15 Grams,866164
Medisense Thin Type A Lancet S 0.36Mm 28Gauge,1305601
Autopen 24 Re-Usable Pen 3 Ml 1-21 Units An4210,2593946
Autopen Classic Pen 3Ml 2 Unit 2-42 Units,247835
Barkat Par Baked Bread Rolls,36676
Hylo-Fresh Eye Drops Preservative-Free 0.03 %,1038747
Ascensia Microlet Lancets Type A 0.5 Mm 28 Gauge,1312375
One Touch Ultra Strip Strip,220601
Ocusan Drops 0.2% 0.5Ml,2369388
Compression Hosiery Class Ii Anklet Circular Knit Standard Stock Size,215502
Bd Ultra Re-Usable Pen 3Ml,2593946
Carmellose Sodium Oral Paste 16.58 %,491498
Novopen 4 Re-Usable Pen Blue 3 Ml 1-60 Units,1426460
Accu-Chek Compact 17 Tests,999457
Dermasilk Tubular Sleeves 33 Cm Long,1364404
Omnican Lance Soft Lancets 0.30 Mm 30 Gauge,1307719
Comfifast Stockinette 10.75 Cm Yellow Line,1305564
One Touch Ultra Test Strip Test Strip,220601
Elasticated Viscose Stockinette Acti Fast Green Line Medium Limb 5Cmx1M,1310705
Carmellose Sodium Preservative-Free Eye Drops 0.5 % 0.4 Ml Unit Dose,1798389
Advantage 11 Plastic Reagent Strip,967558
Comfifast Easy Wrap Leggings Small Adult,209990
Elasticated Viscose Stockinette Tubifast Blue Line Large Limb 7.5Cm X5M,1655936
Elasticated Viscose Stockinette Acti Fast Beige Line Trunks Adult 17.5Cmx1M,1232161
Aerochamber Adult,209990
Betmiga M R Tablets 50 Mg,218128
One Touch Ultra Soft Lancets Lancets,207074
Tubifast 2-Way Stretch Stockinette Elasticated Viscose Green Line Medium Limb 5Cmx3M,1483141
Nitrile-Pro Gloves Medium,2388134
Acti-Fast Stockinette 7.5 Cm X 3 M Blue Line,1655936
Comfifast Stockinette 7.5 Cm Blue Line,1655936
Hepatitis A Vaccine Inactivated Adsorbed Suspension For Injection 1 Ml Vial,727782
Microlet Lancets,1356671
Tubifast Stockinette Elasticated Viscose Green Line Medium Limb 5Cmx5M,2532534
Duoderm Exrta Thin Dresing,1421148
Comfifast Stockinette 10.75 Cm X 3 M Yellow Line,1305564
As Saliva Orthana Refill Spray,1426466
Novopen 3 Re-Usable Pen Demi,2593946
E45 Cream Forum Health Products Ltd,106258
Cephalexin 500Mg Tablets,197454
Amoxycillin Sod Cap 250Mg,308182
Ispaghula Husk 3.5G Effervescent Granules Sachets Gluten ...,1095545
Non-Woven Fabric Swab 4Ply Non-Sterile 10Cm X 10Cm,2119390
Zinc Oxide + Soothing Agents Crm,1302174
Sharpsbin Container 1 Litre Daniels Dd477,1493160
Voltarol Sup 50,1600439
Sharpsafe Disposal Unit 1Litre Yellow Frontier Medical P...,212586
Liq Paraffin + Isopropyl Myristate Gel 15% + 15%,27985
Meningococcal Vac,1593128
Tegretol Prolonged Release 400Mg Tablets Novartis Pharmaceuticals Uk Ltd,866307
Co-Dydramol Tab 10Mg 500Mg,2037
Typhim Vi 0.5 Ml Pre-Filled Syringe,1486496
Influenza Inactivated Split Virion Vaccine -,2177291
Ring Pessary 7.5Mm Thick 77Mm Diameter Polythene,1363566
Arjun Crm 2%,2592072
_Converted Drug,1000990
Tubeg Tubu Surgi Lightwei Cot Stockin 1.5Cm 01 Molnlycke,1376214
Tetanus Vaccine Servier 0.5 Ml Amp,1244205
Influvac Sub-Unit 0.5 Ml Pre-Filled Syringe,1488302
Prozac 20Mg Capsules,104849
Inactivtd Influenza Split Virion Merieux Vac,2177291
Cephradine Caps 500 Mg,315610
Anafranil Capsules 25 Mg,857299
Aldactide 25 Tabs,208112
Flexiseq Gel Pro Bano Bio,1535356
Fybogel 3.5G Orange S F Grans,4061
Trio Niltac Sting Free Medical Adhesive Remover Aerosol T...,1183277
Ignatia Amara Tabs 30C,1309960
Paracetamo + Codein Phosphat & Buclizin Tab 500Mg+8Mg+6.25Mg,996982
Eicosapentaenoic Acid + Docosahexanoic Acid Caps 460Mg+380Mg,1291430
Flexitol 10% Urea Cream Thornton & Ross Ltd,106199
Amoxycillin Caps 500 Mg,317616
Sulphathiazole + Sulphacetamide & Suphabenzamide Vaginal Crm,377933
Vitamin Capsules,374301
Prosys Single Use Non-Sterile Drainable Night Drainage Ba...,1236277
Fybogel Hi-Fibre Orange Grans,892565
Locoid Scalp Lotion,1370765
Absorbent Cellulose + Flui Repellen Backin Dressin 10Cmx20Cm,2221
Co-Amoxiclav Tabs 375 Mg,19711
Voltarol 25Mg Tablet Novartis Pharmaceuticals Uk Ltd,1600439
Typhoid Vac Vaccine,762595
Co-Dydramol 10 Mg + 500 Mg Tablets,21406
Norgestrel + Conjugated Oestrogens Tabs 150Mcg+625Mcg,432572
Imodium Classic Caps 2Mg,978005
Sterets Pre-Injection Swab Molnlycke Health Care Ltd,1307051
Fucidin Tab 500,151802
Voltarol Tab 50,1600439
Scholl Softgrip Crclr Knt Clsd T Sto Med Ssl Int Class 2,1666317
Sigvaris 500 Class 2 23-32Mmhg Below Knee Open Toe Lymp...,1299655
Predsol 0.5% Ear Eye Drops Focus Pharmaceuticals Ltd,973880
Glucosamin Hcl + Chondroiti Sulphat Chewab Tab 500Mg + 400Mg,428898
Co-Dydramol Tabs,2037
Flotros 20Mg Tablets Galen Ltd,581662
Sigva 500 Cla 2 Ope Toe Bel Kne Stoc Short Medium Sigvaris,1299655
Betnovate 25% With 3% Coal Tar In Wsp,205100
Soft Silicone + Adhesive Border Wnd Drs Pol Fm Fil 10Cmx10Cm,485647
Diclomax Retard 100Mg M R Caps,218128
Hepatitis A Single Dose Vaccine 160 Units 0.5Ml,1658105
Maalox Sus,152000
Sigvaris Traditional 500 Class 2 23-32Mmhg Below Knee O...,7806
Ispaghula Husk Gluten-Free Sf Eff Grans 3.5G,2284286
Glycerin Sup 4Gm,4910
Hypotears Eye Drops,227192
Estracombi Tts Patches,220372
Ferrograd C Tablets,1088869
Calcium 500 Tabs 1.25G,282465
Calcichew D3 500Mg 400Unit Caplets Shire Pharmaceuticals...,435020
Flexitol 10% Urea Cream Lacorium Health Uk Ltd,106199
Lignocaine Hydrochloride Injection 1% 2Ml Amp,142440
Becotide 50 Inhaler,151414
Dicloflex Mr Tab 75Mg,152056
Compression Hosiery Class Ii Kneecap Circular Knit Standa...,1999003
Argentum Nitricum 6C Homeopathic Tablets,285167
Aveeno Body Wash Johnson & Johnson Ltd,852136
Amoxycillin Capsules 250Mg,308182
Macrogol Comp Npf Oral Pwdr 13.8G,8516
Avena Sativa M Tinct,285251
Trio Pearls Sachets Tr205 Trio Healthcare Ltd,2281737
Dietary Specials Gf Wf High Fibre Crackers Nutrition,1424910
Hepatyrix Vaccine -,798304
Diprosone Diprobase 25%,216664
Dioralyte Relief Sugar Free Powder -,824586
Calcium 500 Tablets Martindale Pharmaceuticals Ltd,282465
Influenza Inactivated Split Virion Vaccination Aventis Pasteur Msd,2177291
C0-Amoxiclav 625Mg Tabs,19711
Pripsen Sachets,808917
Macrogol Comp Npf Oral Pwdr,8516
Unilet Comfortouch Lancets 0.375Mm 28Gauge Owen Mumford Ltd,581662
Insulin Humulin I Isophane Inj 100I U,365677
Oestrogel Gel 0.06%,581549
Vitamin B 6 Cap 100Mg,42954
Harmogen Tabs 1.5Mg,891710
Isosorbide Mononitra Cap 60,381044
Colifoam_Aero 10% 20.8G 14 Enem,1545174
Centrum Advance Tablets Pfizer Consumer Healthcare Ltd,581662
Cephalexin Capsules 250Mg,309112
Solvay Influvac Pfs,216253
Co-Proxamol Sf Susp 32.5Mg + 325Mg,639194
Coal Tar Arachis Oil Extract Plus Shampoo,204681
Scholl Softgrip Class Ii Ribbed Sock Standard Stock Size ...,215502
Sch Soft Circ Kni Clo Toe Thi Stoc Medium Ssl Int Class 2,1299655
Aveeno Daily Moisturising Lotion Johnson & Johnson Ltd,852136
Inactivtd Influenza Vac,1364467
Fluzone Injection,2177696
Canesten Pessary,198245
Anti-D Rho Immunog Inj 50,35465
Gauze Swab 8Ply Non-Sterile 10Cm X 10Cm Robert Bailey & ...,857366
Triludan Forte 120Mg Tablets,202844
Eicosapentaenoic Acid 460Mg Docosahexaenoic Acid 380Mg ...,484348
